变量,策略,系数,标准误,z值,p值,优势比
说明,全部,由于使用PCA降维,显示主成分系数,N/A,N/A,N/A
常数项,reinforcement,2.377,N/A,N/A,N/A,10.771
PC1,reinforcement,1.323,N/A,N/A,N/A,3.755
PC2,reinforcement,-0.675,N/A,N/A,N/A,0.509
PC3,reinforcement,0.589,N/A,N/A,N/A,1.802
PC4,reinforcement,0.348,N/A,N/A,N/A,1.417
PC5,reinforcement,0.295,N/A,N/A,N/A,1.343
PC6,reinforcement,0.451,N/A,N/A,N/A,1.570
PC7,reinforcement,0.204,N/A,N/A,N/A,1.226
PC8,reinforcement,-0.177,N/A,N/A,N/A,0.838
PC9,reinforcement,-0.336,N/A,N/A,N/A,0.715
PC10,reinforcement,-0.241,N/A,N/A,N/A,0.786
PC11,reinforcement,-0.416,N/A,N/A,N/A,0.659
PC12,reinforcement,-0.019,N/A,N/A,N/A,0.981
PC13,reinforcement,0.032,N/A,N/A,N/A,1.033
PC14,reinforcement,0.074,N/A,N/A,N/A,1.077
PC15,reinforcement,-0.117,N/A,N/A,N/A,0.890
PC16,reinforcement,0.061,N/A,N/A,N/A,1.063
PC17,reinforcement,0.032,N/A,N/A,N/A,1.032
常数项,transformation,0.286,N/A,N/A,N/A,1.332
PC1,transformation,-0.523,N/A,N/A,N/A,0.593
PC2,transformation,1.294,N/A,N/A,N/A,3.647
PC3,transformation,-1.643,N/A,N/A,N/A,0.193
PC4,transformation,-0.729,N/A,N/A,N/A,0.482
PC5,transformation,-0.828,N/A,N/A,N/A,0.437
PC6,transformation,0.034,N/A,N/A,N/A,1.034
PC7,transformation,-0.091,N/A,N/A,N/A,0.913
PC8,transformation,-0.002,N/A,N/A,N/A,0.998
PC9,transformation,0.076,N/A,N/A,N/A,1.079
PC10,transformation,-0.043,N/A,N/A,N/A,0.958
PC11,transformation,-0.088,N/A,N/A,N/A,0.916
PC12,transformation,-0.388,N/A,N/A,N/A,0.679
PC13,transformation,-0.237,N/A,N/A,N/A,0.789
PC14,transformation,-0.131,N/A,N/A,N/A,0.877
PC15,transformation,-0.574,N/A,N/A,N/A,0.563
PC16,transformation,0.968,N/A,N/A,N/A,2.634
PC17,transformation,0.323,N/A,N/A,N/A,1.381
